Week,SearchTrends,Quarterly Revenue (Billions),Closing Price,SMP Close,article_count,comp_sentiment,pos_ratio,neg_ratio
2025-01-03,51,9.1,92.58,5909.02978515625,,,,
2025-01-10,41,9.4,92.25,5842.91015625,,,,
2025-01-17,39,9.4,95.13,6049.240234375,1.0,-0.5267,0.0,0.099
2025-01-24,42,9.4,98.81,6067.7001953125,,,,
2025-01-31,44,9.4,107.68,6037.8798828125,2.0,0.59265,0.1704147926036981,0.0559720139930035
2025-02-07,40,9.4,112.2,6068.5,,,,
2025-02-14,45,9.4,112.55,6129.580078125,1.0,-0.1531,0.0,0.058
2025-02-21,38,9.4,111.75,5955.25,,,,
2025-02-28,40,9.4,115.81,5778.14990234375,1.0,-0.0258,0.093093093093093,0.1201201201201201
2025-03-07,39,9.4,106.48,5572.06982421875,,,,
2025-03-14,42,9.4,98.11,5614.66015625,,,,
2025-03-21,40,9.4,97.07,5776.64990234375,1.0,0.4588,0.083,0.0
2025-03-28,39,9.4,97.73,5633.06982421875,,,,
2025-04-04,36,9.4,82.1,4982.77001953125,,,,
2025-04-11,36,8.8,85.43,5396.6298828125,,,,
2025-04-25,42,8.8,83.81,5560.830078125,,,,
2025-05-02,39,8.8,84.69,5606.91015625,1.0,0.8537,0.238,0.0
2025-05-09,42,8.8,80.3,5886.5498046875,,,,
2025-05-16,40,8.8,85.57,5940.4599609375,,,,
2025-05-23,44,8.8,84.4,5921.5400390625,1.0,-0.4939,0.0,0.167
2025-05-30,43,8.8,83.95,5970.3701171875,,,,
2025-06-06,41,8.8,89.64,6038.81005859375,,,,
2025-06-13,42,8.8,93.26,5982.72021484375,,,,
2025-06-20,38,8.8,93.12,6092.18017578125,,,,
2025-06-27,40,8.8,92.11,6198.009765625,,,,
2025-07-11,39,9.5,94.94,6243.759765625,,,,
2025-07-18,41,9.5,93.8,6309.6201171875,,,,
2025-07-25,43,9.5,94.42,6370.85986328125,,,,
2025-08-01,47,9.5,86.86,6299.18994140625,1.0,0.7845,0.203,0.0
2025-08-08,42,9.5,92.12,6445.759765625,,,,
2025-08-15,42,9.5,90.6,6411.3701171875,,,,
2025-08-22,43,9.5,88.38,6465.93994140625,,,,
2025-08-29,59,9.5,88.19,6415.5400390625,3.0,-0.7469666666666667,0.0,0.3046666666666667
2025-09-05,47,9.5,85.43,6512.60986328125,1.0,-0.4215,0.0,0.083
2025-09-12,41,9.5,81.9,6606.759765625,1.0,0.3506,0.173,0.078
2025-09-19,44,9.5,84.56,6656.919921875,,,,
2025-09-26,50,9.5,83.39,6688.4599609375,1.0,0.5267,0.116,0.044
2025-10-03,50,9.5,86.42,6714.58984375,,,,
2025-10-10,44,9.6,78.46,6644.31005859375,,,,
2025-10-17,40,9.6,85.36,6735.35009765625,,,,
2025-10-24,43,9.6,86.09,6890.89013671875,1.0,-0.25,0.0,0.095
2025-10-31,44,9.6,80.87,6771.5498046875,1.0,0.0516,0.087,0.08
2025-11-07,100,9.6,85.57,6846.60986328125,1.0,0.4404,0.088,0.0
2025-11-14,83,9.6,84.78,6617.31982421875,1.0,0.3182,0.079079079079079,0.042042042042042
2025-11-21,50,9.6,85.35,6602.990234375,,,,
2020-11-27,74,4.2,218.33,3662.449951171875,,,,
2020-12-04,63,4.2,210.74,3702.25,,,,
2020-12-11,61,4.2,207.76,3694.6201171875,,,,
2020-12-18,61,4.2,215.08,3687.260009765625,,,,
2021-01-08,54,5.3,215.87,3801.18994140625,,,,
2021-01-15,55,5.3,209.91,3798.909912109375,,,,
2021-01-22,54,5.3,213.38,3849.6201171875,,,,
2021-01-29,56,5.3,207.84,3826.31005859375,1.0,0.5859,0.134,0.0
2021-02-05,55,5.3,212.58,3911.22998046875,,,,
2021-02-12,66,5.3,213.9,3932.590087890625,,,,
2021-02-19,72,5.3,212.24,3881.3701171875,,,,
2021-02-26,66,5.3,206.14,3870.2900390625,1.0,0.5267,0.238,0.077
2021-03-05,65,5.3,207.37,3875.43994140625,,,,
2021-03-12,60,5.3,212.34,3962.7099609375,,,,
2021-03-19,61,5.3,222.44,3910.52001953125,,,,
2021-03-26,61,5.3,225.21,3958.550048828125,,,,
2021-04-09,65,5.1,231.48,4141.58984375,,,,
2021-04-16,60,5.1,233.08,4134.93994140625,,,,
2021-04-23,66,5.1,234.58,4186.72021484375,1.0,0.1779,0.046,0.0
2021-04-30,61,5.1,236.08,4164.66015625,1.0,0.6997,0.157,0.0
2021-05-07,64,5.1,234.84,4152.10009765625,,,,
2021-05-14,63,5.1,231.72,4127.830078125,2.0,0.27365,0.161,0.0
2021-05-21,65,5.1,231.24,4188.1298828125,2.0,0.0814,0.072463768115942,0.0609695152423788
2021-05-28,76,5.1,233.89,4202.0400390625,,,,
2021-06-04,73,5.1,233.38,4227.259765625,,,,
2021-06-11,68,5.1,236.93,4246.58984375,,,,
2021-06-18,70,5.1,229.62,4246.43994140625,1.0,-0.8481,0.066,0.275
2021-06-25,71,5.1,232.42,4291.7998046875,,,,
2021-07-02,69,5.1,233.63,4343.5400390625,,,,
2021-07-09,72,5.9,235.68,4369.2099609375,1.0,-0.296,0.0,0.073
2021-07-16,71,5.9,234.75,4323.06005859375,1.0,0.8126,0.236,0.0
2021-07-23,66,5.9,242.96,4401.4599609375,,,,
2021-07-30,67,5.9,242.71,4423.14990234375,,,,
2021-08-06,64,5.9,236.26,4436.75,,,,
2021-08-13,60,5.9,238.82,4448.080078125,3.0,-0.1060666666666666,0.0303333333333333,0.055
2021-08-20,65,5.9,238.49,4486.22998046875,,,,
2021-08-27,62,5.9,237.48,4522.68017578125,,,,
2021-09-03,62,5.9,238.82,4520.02978515625,,,,
2021-09-10,65,5.9,239.18,4443.0498046875,,,,
2021-09-17,60,5.9,242.49,4354.18994140625,,,,
2021-09-24,60,5.9,246.42,4352.6298828125,,,,
2021-10-01,61,5.9,242.93,4345.72021484375,,,,
2021-10-08,62,6.2,247.7,4350.64990234375,,,,
2021-10-15,67,6.2,242.25,4519.6298828125,,,,
2021-10-22,60,6.2,238.44,4574.7900390625,,,,
2021-10-29,59,6.2,245.55,4630.64990234375,1.0,0.0,0.041,0.041
2021-11-05,61,6.2,254.71,4685.25,,,,
2021-11-12,62,6.2,250.67,4700.89990234375,,,,
2021-11-19,61,6.2,251.95,4690.7001953125,,,,
2021-11-26,77,6.2,250.01,4567.0,,,,
2021-12-03,55,6.2,249.33,4686.75,,,,
2021-12-10,57,6.2,264.97,4634.08984375,,,,
2021-12-17,63,6.2,261.7,4649.22998046875,1.0,0.0,0.0,0.0
2021-12-31,78,6.2,268.07,4793.5400390625,,,,
2022-01-07,58,6.0,267.06,4713.06982421875,,,,
2022-01-14,51,6.0,257.71,4577.10986328125,,,,
2022-01-21,50,6.0,254.59,4356.4501953125,,,,
2022-01-28,52,6.0,256.09,4546.5400390625,1.0,0.4404,0.121,0.0
2022-02-04,58,6.0,260.06,4521.5400390625,,,,
2022-02-11,65,6.0,255.16,4471.06982421875,,,,
2022-02-18,56,6.0,250.6,4304.759765625,,,,
2022-02-25,60,6.0,249.45,4306.259765625,1.0,-0.3818,0.0,0.069
2022-03-04,59,6.0,235.81,4170.7001953125,,,,
2022-03-11,59,6.0,226.87,4262.4501953125,3.0,-0.2742333333333333,0.0,0.0783594531510503
2022-03-18,63,6.0,238.92,4511.60986328125,1.0,-0.5994,0.111,0.243
2022-03-25,60,6.0,241.58,4631.60009765625,,,,
2022-04-01,56,6.0,249.25,4525.1201171875,,,,
2022-04-08,58,5.7,251.46,4397.4501953125,,,,
2022-04-22,56,5.7,250.17,4175.2001953125,,,,
2022-04-29,57,5.7,249.16,4175.47998046875,,,,
2022-05-06,57,5.7,250.78,4001.050048828125,,,,
2022-05-13,58,5.7,245.04,4088.85009765625,,,,
2022-05-20,62,5.7,233.91,3941.47998046875,1.0,0.0,0.0,0.0
2022-05-27,64,5.7,251.87,4132.14990234375,1.0,0.4019,0.08,0.0
2022-06-03,65,5.7,248.36,4160.68017578125,,,,
2022-06-10,62,5.7,237.38,3735.47998046875,,,,
2022-06-17,64,5.7,234.38,3764.7900390625,2.0,-0.2166999999999999,0.084,0.1545
2022-06-24,69,5.7,247.9,3821.550048828125,,,,
2022-07-01,70,5.7,252.96,3831.389892578125,,,,
2022-07-08,71,5.7,253.24,3818.800048828125,,,,
2022-07-15,68,5.7,255.01,3936.68994140625,1.0,-0.25,0.0,0.069
2022-07-22,65,5.7,253.99,3921.050048828125,,,,
2022-07-29,61,5.7,263.37,4091.18994140625,1.0,-0.34,0.0,0.064
2022-08-05,66,5.7,259.23,4122.47021484375,,,,
2022-08-12,62,5.7,262.18,4305.2001953125,1.0,-0.3612,0.0,0.088
2022-08-19,61,5.7,266.54,4128.72998046875,,,,
2022-08-26,64,5.7,256.95,3986.159912109375,2.0,-0.1806,0.0399800099950024,0.0779610194902548
2022-09-02,62,5.7,254.51,3908.18994140625,,,,
2022-09-09,59,5.7,259.52,3932.68994140625,,,,
2022-09-16,55,5.7,254.91,3855.929931640625,,,,
2022-09-23,57,5.7,245.95,3647.2900390625,1.0,0.0,0.0,0.0
2022-09-30,63,5.7,230.74,3790.929931640625,,,,
2022-10-07,100,5.9,233.19,3588.840087890625,,,,
2022-10-14,70,5.9,243.16,3719.97998046875,2.0,-0.79515,0.028,0.2299999999999999
2022-10-21,82,5.9,254.55,3859.110107421875,,,,
2022-10-28,64,5.9,274.52,3856.10009765625,1.0,0.443,0.17,0.047
2022-11-04,59,5.9,274.62,3828.110107421875,,,,
2022-11-11,59,5.9,271.39,3991.72998046875,,,,
